Command;Number of args;arg1;arg2
PLK;0;;
PLP;0;;
PLX;0;;
PLY;0;;
REP;1;#const;
ROL;1;dp;
ROL;1;A;
ROL;0;;
ROL;1;addr;
ROL;1;dp,x;
ROL;1;addr,x;
ROL;1;label;
ROL;1;label+;
ROL;1;label-;
ROL;1;sublabel;
ROR;1;dp;
ROR;1;A;
ROR;0;;
ROR;1;addr;
ROR;1;dp,x;
ROR;1;addr,x;
ROR;1;label;
ROR;1;label+;
ROR;1;label-;
ROR;1;sublabel;
RTI;0;;
RTL;0;;
RTS;0;;
SBC;1;(dp,x);
SBC;1;sr,s;
SBC;1;dp;
SBC;1;[dp];
SBC;1;#const;
SBC;1;#const16;
SBC;1;addr;
SBC;1;long;
SBC;1;(dp),y;
SBC;1;(dp);
SBC;1;(sr,s),y;
SBC;1;dp,x;
SBC;1;[dp],y;
SBC;1;addr,y;
SBC;1;addr,x;
SBC;1;long,x;
SBC;1;label;
SBC;1;label+;
SBC;1;label-;
SBC;1;sublabel;
SEC;0;;
SED;0;;
SEI;0;;
SEP;1;#const;
STA;1;(dp,x);
STA;1;sr,s;
STA;1;dp;
STA;1;[dp];
STA;1;addr;
STA;1;long;
STA;1;(dp),y;
STA;1;(dp);
STA;1;(sr,s),y;
STA;1;dp,x;
STA;1;[dp],y;
STA;1;addr,y;
STA;1;addr,x;
STA;1;long,x;
STA;1;label;
STA;1;label+;
STA;1;label-;
STA;1;sublabel;
STP;0;;
STX;1;dp;
STX;1;addr;
STX;1;dp,y;
STX;1;label;
STX;1;label+;
STX;1;label-;
STX;1;sublabel;
STY;1;dp;
STY;1;addr;
STY;1;dp,x;
STY;1;label;
STY;1;label+;
STY;1;label-;
STY;1;sublabel;
STZ;1;dp;
STZ;1;addr;
STZ;1;dp,x;
STZ;1;addr,x;
STZ;1;label;
STZ;1;label+;
STZ;1;label-;
STZ;1;sublabel;
TAX;0;;
TAY;0;;
TCD;0;;
TCS;0;;
TDC;0;;
TRB;1;dp;
TRB;1;addr;
TRB;1;label;
TRB;1;label+;
TRB;1;label-;
TRB;1;sublabel;
TSB;1;dp;
TSB;1;addr;
TSB;1;label;
TSB;1;label+;
TSB;1;label-;
TSB;1;sublabel;
TSC;0;;
TSX;0;;
TXA;0;;
TXS;0;;
TXY;0;;
TYA;0;;
TYX;0;;
WAI;0;;
WDM;0;;
XBA;0;;
XCE;0;;
